text,complexity
اسپیکر,2
کرسی,2
خمیر دندان,2
انبر دست,2
کولر برقی,2
کولر گازی,2
کولر آبی,2
برس مو,2
پلیس راه,2
یخ نوردی,2
افسر نیروی انتظامی,3
تصمیم کبری,2
روباه و زاغ,2
چوپان دروغگو,1
دهقان فداکار,2
مهمانان کوکب خانم,3
باز باران با ترانه,2
دیکته پا تخته‌ای,3
پا پس کشیدن,2
دل دل کردن,3
سارا خادم الشریعه,3
خروس خوان,2
اسنوکر,2
پیتوک,2
خورشت خلال,3
خلال بادام,2
خلال پسته,2
شلیل,2
میوه خوری,2
راحت الحلقوم,2
بروبچ,3
میخ شدن,3
آزرده خاطر,3
بی ریا,3
بی سر و صدا,3
جول و پلاس,3
هنگ کردن,1
چهار چنگولی,2
فرش فروش,1
سمج,3
گوشه گیر,2
خاطی,3
مو قشنگ,2
کباب ترکی,2
شیرین پلو,2
راننده کامیون ,2
چای ساز,2
مار زنگی,2
مدال طلا,1
مدال برنز,1
مدال نقره,1
گاز رومیزی,2
عطار,1
واتساپ,1
لازانیا میگو,3
خیارچنبر,2
برگه قیسی,3
برگه زردآلو,3
مربا بالنگ,3
مربا آلبالو,2
کمپوت گیلاس,2
کنسرو ذرت,3
شکست عشقی,3
دست به آب,2
دلمه بادمجان,3
دلمه برگ,2
باقالی قاتوق,2
سبزی پلو با ماهی,2
عدسی,2
 شله مشهدی,3
دست به سر,2
باز,1
چکاوک,2
ماراتن,2
مکتب خانه,1
دانه مرغی,3
سیاهی لشکر,2
چهل تکه,1
خط خرچنگ قورباغه,3
جگرکی,2
هما,1
از جلو نظام,1
تور والیبال,2
سرخرگ آئورت,3
لپه,1
تالیسمان,2
کولیوس,3
بخاری نفتی کلاس,3
مربی مهد کودک,2
ساعت کلاس,2
تمرین کلاسی,3
حل مسئله,3
معلم خصوصی,2
نماینده کلاس,3
اتاق ناظم,3
کتری برقی,2
نعلبکی,1
چشم به راه,2
آینده نگر,2
خوابگاه مدرسه,3
ورزش صبحگاهی,2
مداح,1
رقاص,1
موزیسین,2
گیتاریست,2
موذن,1
رپر,1
دانشجو,1
سوارکار,1
چینی بندزن,3
دندانساز,1
ارتوپد,2
راهبه,2
عاطفی,2
خدمتکار,2
پیش خدمت,3
رنجور,3
مارموز,2
حال بهم زن,3
اشتها آور,1
چشم پاک,1
معاشرتی,3
صدا پیشه,3
آپاندیس,2
شبکیه,2
پلک,1
ستون فقرات,1
لوله بخاری,2
پلو پز,1
مو را از ماست کشیدن,2
سر سپرده,3
ماست موسیر,2
دل چرکین,3
خون و دل,2
اب دوغ خیار,2
کمک داور,1
دفتر مدیر,2
مدیر مدرسه,2
زیست شناسی,2
دیزی سنگی,2
بز کوهی,2
سنگ صبور,3
دکتر عمومی,2
مسئول کنترل کیفیت,3
نیکو,3
دختر,1
پسر,1
مرد,1
زن,1
ابلیمو,2
ضایعات فروش,3
طحال,3
ترقوه,2
دسته گل به آب دادن,3
پاستا,2
دمنوش بهارنارنج,3
دمنوش گل گاو زبان,2
دمنوش به,3
اسپرسو,2
یاسی,2
لوتی,2
سلمونی,2
نمکی,2
فوتبال دستی,2
فوتبال نابینایان,2
سالن چندمنظوره,3
پوما,2
آرنولد,2
کونگ فو,1
تای چی,3
دو با مانع,2
دو استقامت,2
فیل و فنجون,2
زور چپون,3
شاخ اینستا,2
در رفتن,2
پژو۲۰۷,2
پراید ۱۴۱,2
نعش کش,2
بصل النخاع,3
دنده,1
کمر,1
کتف,1
زانو,1
زرد پی,3
پاترول,2
iPhone X,1
خانوم,1
آقا,1
تابلو اعلانات,3
گرگ صفت,3
درخشان,2
تنومند,3
لبو فروش ,2
اچار چرخ,2
روغن موتور,1
تسمه تایم ,2
دنده معکوس,2
کمربند ,1
تنگه هرمز,2
آبشار نیاگارا ,2
چشمه زمزم ,3
خوش بیان,3
نازپرورده,3
ناخونک زدن,1
زیر بغل,2
شکم,1
شاهرگ,1
کلوت شهداد,3
ارگ بم,2
آلومینیوم کار,2
صندوق پیشنهادات ,3
آرشه,2
مترونوم,3
دفتر نت,2
گچ کار,1
چرم دوزی,2
قالیشویی,2
سگ خور,2
سوروسات,3
اَلابختکی,3
بناگوش,2
نفس گیر,3
‌HP,2
پیشونی سفید,2
acer,2
intel,3
شیائومی,2
رنگ پریده,2
آزرده,2
آسوده,2
سراسیمه,3
تیزبین,2
خودسر,3
دلسرد,3
دلواپس,3
سبک مغز,2
سرسخت,3
شاداب,3
کدبانو,1
گرانبها,1
چشم سفید,2
فراش,3
آب جوش,1
مستخدم,3
دیاگ,2
بی سواد,2
بی شخصیت,3
نترس,2
خرابکار,3
بی اختیار,3
بی مسئولیت,3
بی نیاز,3
بی آزار,2
آبشار باران کوه,3
گل گشت,3
آبشار کبودوال,3
خاله زنک,2
کوچه پس کوچه,3
شیری یا روباه,2
اخراجی,2
اژدها,1
تومبا,3
بیابان زدایی ,3
قاطی پاتی,3
مال و مَنال,3
شاخ مدرسه,2
پا گُنده,2
کاکتوس,1
خدمه پرواز,3
بولدوزر,2
کبدی,2
نمک,1
اختلاس گر,2
هارمونیکا,3
شیرزن,2
عصب سیاتیک,3
غده پروستات,3
گل زنبوری ,2
درنا ,2
کوسه سفید,1
کهنه فروش,3
بافت عضلانی,3
زغال فروش,1
ویدئو چک,2
پاراگلایدر,2
تند مزاج,3
معادله ریاضی,3
رشته کوه البرز,2
حیوانات وحشی,2
حیوانات اهلی,2
سپهبد,3
آکورد,3
سریع,2
تیز و بز,3
تیز و بز,3
پفک هندی,2
سایپا,2
نخود هر آش,2
مودم,1
مچ بند هوشمند,3
گجت,2
چاپلوس,2
آنتن,1
دکل مخابراتی,3
فنچ,2
کنترل,1
عینک هوشمند,3
عینک واقعیت مجازی,3
دانش آموز نمونه,3
دوش,1
توالت فرنگی,2
توالت ایرانی,2
روشور,2
ps4,1
لامپ هالوژن,3
کچاپ,2
به لیمو,3
بادرنجبویه,3
بارهنگ,3
خاکشیر,2
آویشن,2
سیاه دانه,2
خشخاش,2
شصت پا,1
خورشت آلو اسفناج,3
کته ماست,2
های لوکس,2
عجق وجق,3
یخمک ,2
پدر ,1
دریانوردی,3
بی مخ,2
بی کله,2
قلم,1
آموزگار,2
ماجراجو,3
جاه طلب,3
دو تار,1
خرک,2
مضراب,3
رعنا,1
خوش قد و بالا,3
با ادب,2
با شخصیت,2
موفق,1
عادل,1
هوشیار,3
ماهی کباب,2
مغلطه,3
شیطان کوه,3
کدو,1
خوش عطر,3
کلاس کنکور,3
برنامه امتحانی,3
نمره مستمر,3
استاد پروازی,2
رود ارس,3
تو نخ کسی بودن,3
هاکی سالنی,3
خرپول,1
دانشگاه فردوسی ,2
بی فرهنگ ,2
فلفل نبین چه ریزه,2
ظرف پلاستیکی,2
اسفنج دریایی,2
ناجور,2
ذلیل,2
پارکور,2
تاریخی,2
مرگ یکبار شیون یکبار,2
داروخانه,1
آمپول,1
سروم,2
دکتر,1
ویزیت,2
پا تو کفش من نکن,2
با یه گل بهار نمیشه,2
رسیور,2
مسن,3
کم سن,3
سنتی,2
نهایی,2
گوناگون,3
آماده,2
ولرم,1
طبیعی,2
رایج,3
مشترک,1
عمومی,2
بیگانه,3
باسابقه,3
غلط,1
مختصر,3
علنی,3
واضح,1
حقیقی,2
آسپرین,2
گرگ بارون دیده,3
ترمپولین,2
شنا,1
باد معده,2
جراحی ,2
فریدونکنار ,3
سیم کارت ,2
جنگل ابر ,2
جنگل حرا ,3
دریا مدیترانه ,3
دریاچه ارومیه ,2
رود کارون ,2
اروند رود ,3
نوشدارو بعدمرگ سهراب,2
ناک اوت,2
کاسه زیر نیم کاسه,2
نجیب,2
آبغوره گرفتن,2
آب شده رفته تو زمین,2
آب زیر کاه,2
آب ها از آسیاب افتاد,2
آبی ازش گرم نمیشه,2
آتش بیار معرکه,3
آستین بالا زدن,2
آسیاب به نوبت,3
آش با جاش,2
آفتابه دزد,2
از ماست که بر ماست,2
باهمه بله باماهم بله,2
نابرده رنج,2
کله خر,2
هاروارد,2
OTG,2
تلویزیونOLED,3
سلام سلامتی می آورد,2
قلب,1
طباخ,2
قیمه بادمجان,2
سوپ شیر,2
سوپ قارچ,2
سوپ سبزیجات,2
سرشیر,2
خورشت ریواس,3
نخود پلو,3
کوفته برنجی,3
سنگ ماهی,2
سنگ مفت گنجشک مفت,2
مورفین,2
دیالیز,2
پروستات,2
میکروب,2
باکتری,2
ایدز,2
بافت سرطانی,2
جزوه,1
مقنعه,1
حراست,2
سلف,2
آی سی ,3
سیم,2
عقل سالم در بدن سالم,2
بخارپز,2
سرخ کن,2
اندوهگین,3
بادآورده راباد ميبرد,2
بادمجان بم آفت ندارد,2
یه دست صدا نره,2
باركج به منزل نميرسد,2
چوبکاری نفرمایید,2
دولا چَنگ,3
سوربون,2
دندانپزشکی,2
تراکم استخوان,2
مغز استخوان,2
دیسک کمر,2
به تنگ امد,2
مبهم,3
اکتاو,3
نت دو,2
رو دست خوردن,3
یک تخته اش کمه,2
نفوس بد زدن,3
کله اش باد داره,3
کوتاه آمدن,2
کَکِش نمی گَزد,2
کشک چی پشم چی,2
کشتی هاش غرق شده,2
کبکش خروس میخونه,2
کاری کرد کارستان,2
کار نشد نداره,2
قوز بالا قوز,1
قاطی مرغ ها شدن,2
ضرر تلخه,2
عمل جراحی باز,2
شتر دیدی ، ندیدی,2
شانه خالی کردن,2
بلندت کند دشمن دانا,2
شال و کلاه کردن,2
سلام سلامتی میاره,2
سر و گوش آب دادن,2
سر به هوا,2
سر پیازی یا ته پیازی,2
زیرش زدن,2
زنگوله پای تابوت,2
کلاهش پس معرکه است,2
شده قلیان اقا محسن,2
لعنت به کار عجله ,2
تا زنده ای همین است,2
دوقورت ونیمش باقیست,2
خروس بی محل ,2
چه کشکی چه پشمی,2
بز خری می کنه,2
با دم شیر بازی نکن,2
عروق,2
باسن,1
سی تی اسکن,2
سونوگرافی,2
آناتومی,2
شیمی درمانی,2
کمیته,2
صنعتی شریف,2
یه پاش لب گورِ,2
آش نخورده دهن سوخته,2
فوت کوزه گری,3
بیلش را پارو کرده,2
طمع کار,3
خوش آب و رنگ,3
رم,1
گاگول,3
زیبنده,3
مُهر,1
تسبیح,1
نخ,1
دومیدانی,2
کشتی,2
سیب‌زمینی,1
بایک گل بهارنمیشود,2
فیوز,2
امیر غفور,3
میل بافتنی,2
اب درهاون کوبیدن,2
مننژیت,2
بی عقل,2
پزشکی ,2
واحد,2
تِرم,1
استاد,1
دانشجو,1
آهنربا,1
دلمه کلم,3
نیکوکار,3
عزیز,2
خاضع,3
هیپوتالاموس,2
دانشگاه آزاد ,2
دانشگاه هاروارد ,2
استخوان لای زخم ,2
خودپرست,3
شکم پرست,2
قلدر,3
دغلباز,2
قدرتمند,1
مهر,1
تزریقات,2
انگشت,1
مار از پونه بدش میاد,2
تیوولی,2
چی توز,2
های بای,2
بلدرچین,2
دانشگاه بهشتی ,2
دانشگاه شریف ,2
دانشگاه امیرکبیر ,2
جا تره و بچه نیست,2
دانشگاه علم و صنعت ,2
دعوا سر لحاف ملا بود,2
خوابگاه ,2
کف گیر خورده کف دیگ,2
دوستی خاله خرسه,2
دود چراغ خورده,2
حساب حساب کاکا برادر,2
بی فکر ,2
بور,2
آبان,2
کوچه,1
ماشین,2
بازار,1
پول,1
بیمارستان,2
دارو,1
آمپول,1
معلم,1
مدیر,2
دانش آموز ,1
ناظم,1
زنگ تفریح,2
دفتر ,1
کتاب,1
کاغذ,1
تابستان,1
خودکار,1
یادداشت,2
مبصر,1
امتحان,1
سرویس مدرسه,2
کتابخانه,1
میز,2
صندلی,2
تخته,1
کیف,2
جامدادی,2
دعوا,1
بوفه,1
قالی,2
دیوار,2
اتاق,1
تخت,1
پتو,1
مبل,1
قاشق,1
چنگال,1
یخچال,2
چراغ,1
لیوان,2
چاقو,1
میوه,2
موز,1
سیب,2
هلو,1
پرتغال,1
گوشت,2
مرغ,1
برنج,1
آبمیوه,2
آلوچه,1
نان,1
آب,1
نوشابه,1
مورچه,1
گربه,1
سگ,1
گنجشک,1
مرغ,1
خروس,1
شتر,1
راننده,1
نانوا,1
قصاب,1
عکاس,1
دکتر,1
پرستار,1
خیاط,2
پلیس,2
دزد,1
بازی,2
رایانه,2
تلویزیون,2
موبایل,2
رادیو,2
سیم,2
تلفن,1
دست,1
پا,1
انگشت,1
چشم,1
دهان,1
گردن,1
شکم,1
مو,1
لباس,1
کفش,1
پیراهن,2
خوشحال,1
ناراحت,1
گریه,2
پدر,1
مادر,1
برادر,1
خواهر,2
خاله,1
عمو,1
دایی,2
پدربزرگ,2
مادربزرگ,1
خدا,1
پیامبر,2
امام,2
محمد,1
علی,2
نماز,1
روزه,1
اسلام,2
اردیبهشت,2
فروردین,2
زمستان,1
پاییز,2
بهار,1
جمعه,1
آسمان,1
خورشید,2
ستاره,1
درخت,1
گل,1
چمن,1
پارک,1
دریا,2
بیابان,2
خاک,1
زمین کجه,2
رادیولوژی,2
رطب,1
طب سوزنی,2
       واتر پلو,1
آریزو,2
دستمال کاغذی,1
باوقار,3
معنوی,2
خودمحور,3
بی عاطفه,2
لایق,3
راضی,2
پرشور,3
محترم,2
معصوم,1
باعطوفت,3
خونگرم,2
بی باک,2
مدبر,2
اصیل,2
فهیم,3
بی خیال,2
متعادل,2
بی پروا,3
وقت شناس,3
بی چشم و رو,3
به گردن گرفتن,2
به سیم آخر زدن,2
به ریش کسی خندیدن,3
به رخ کشیدن,3
به خاک سیاه نشستن,2
بند را آب دادن,2
بلندگو قورت دادن,2
بزنم به تخته,1
برق از سر پریدن,2
برو کشکت را بِساب,3
دارو,1
استاد یار,2
روان شناسی,2
دانشکده حقوق,2
گر نباشد چیزکی ,2
فس فس کردن,3
مارس شدن,3
فیفا,2
کوبی برایانت,3
شیکاگو بولز,3
لیکرز,2
هرچه کنی به خود کنی ,2
پد موس,2
ایراد بنی اسراعیلی,2
هکر,1
گاومون زایید,2
میگرن,2
ز گهواره تاگور,2
گاو پیشونی سفید,2
گوشی,2
با تربیت,2
مار گزیده,2
لاک پاک کن,1
بی عفت,3
بی حیا,3
بی غیرت,2
التهاب لثه,2
پارکینسون,2
چند شخصیتی,2
دستگاه ام آر آی,2
جوراب,1
گنه کرد دربلخ آهنگری,2
پلاکت,2
فیزیوتراپیست,2
مودب,2
هاب,3
کابل وی جی ای,3
Icu,2
قرنیه,2
دریا کنار,2
پشه کش,1
جای سوزن انداختن نیس,2
جعبه دستمال کاغذی,2
صندوقچه,2
ناظر داوری,3
اف اف,2
برج زهرمار,3
شن و ماسه,1
سنگ ریزه,2
ویروس تبخال,2
نرولوژی,2
قلب و عروق,2
متخصص مغز و اعصاب,2
گوش و حلق و بینی,2
چشم پزشک,1
دندان پزشک ,1
بیمارستان,2
اورژانس,1
جراح قلب,1
جراح مغز ,2
اورولوژی,2
No pain no gain,2
شهید بهشتی,2
امین,2
شرخر,2
پنس,2
جوینده یابنده است,2
آب در هاون کوبیدن,2
گرمک,2
سیمرغ,2
یک بام و دو هوا,2
زبونتو گاز بگیر,2
دهنت بوی شیر میده,2
دست ازسرکچلم بردار,2
هرچه باداباد,2
سبیلش آویزان شد,2
آتش زده به مالش,2
آش دهان سوزی نیست,2
آسمون همه جاش ی رنگه,2
آب از دریا بخشیدن,2
با یک تیر دو نشان زد,2
به درگفت دیوار بشنوه,2
پشت چشم نازک کردن,2
پشت دست داغ کردن,2
پولش از پاروبالامیره,2
پایان شب سیه سپیده,2
پول علف خرس است,2
تعارف اومدنیومد داره,2
تیرش ب سنگ میخورد,2
تیرتوی تاریکی انداخت,2
تافته جدابافته,2
تیشه ب ریشه زدن,2
پلاسما,2
رباط,1
زرد پی,3
پادتن,2
زیر پام علف سبز شد,2
لاستیک,2
متخصص ارتوپد,2
باهوش,1
امپول,2
بشنو و باور نکن,2
جیک جیک مستانت بود,2
استین نو بخور پلو,2
اش دهان سوز,2
شاهنامه آخرش خوشه,2
دامپزشک,1
شغل کاذب,3
کاوشگر,3
املاکی,2
ساندیس,2
روان شناس,2
مخمر,3
خردکن,2
پودر لباسشویی,2
چراغ,1
چاکریم,2
طلاسازی,2
بیزینس من,3
مهندسی مکانیک,2
مهندس مکانیک,2
علوم پزشکی,2
ریاضی فیزیک,2
لیسانس,2
فوق لیسانس,2
دکترا,2
جواب ابلهان خاموشیست,2
جانماز آب کشیدن,2
جواب دندان شکن,2
جنگ دوسر دارد,2
جونم ب لبم اومد,2
نمک خورد نمکدون شکست,2
جای شُکرش باقیست,2
چوفردا شدفکرفرداکنیم,2
چیزی بارش نیست,2
چشم بسته غیب میگوید,2
چوب ب لانه زنبورکردن,2
حساب حسابه کاکابرادر,2
حسود هرگز نیآسود,2
حق ب حق دار میرسد,2
حادثه خبر نمیکند,2
حرف حساب جواب نداره,2
حرف حق تلخه,2
خرما ازکرگی دم نداشت,2
خرتب میکند,2
خربیار وباقالی بارکن,2
خدا از دهنت بشنوه,2
خودرابه موشمردگی زدن,2
دل ب دریا زدن,2
دل به دل راه داره,2
دو دوتا ، چهارتا,2
دود ازکُنده بلندمیشه,2
ریگی به کفش داشتن,2
روکه نیس سنگپاقزوینه,2
راه بازه و جاده دراز,2
رنگش مثل گچ سفیدشد,2
زبونم مو درآورد,2
زیرآب کسی را زدن,2
سیب از وسط دو نیم,2
سر ب تن زیادی کردن,2
سکوت نشانه رضایت است,2
سرش ب تنش می ارزه,2
سگ زرد برادرشغال است,2
نونش تویه روغنه,2
سر پیری و معرکه گیری,2
ستاره ی سهیل شدی,2
شنیدن کی بودمثل دیدن,2
شتر با بارش گم میشه,2
شاهنامه آخرش خوش است,2
شِمر جلودارش نیست,2
صدااز ته چاه درآمدن,2
طاقتم طاق شده,2
طوطی وار یادگرفتن,2
طبل توخالیست,2
حرفاش باد هواست,2
عجله کار شیطونه,2
فیلش یادهندستون کرده,2
فردا هم روز خداست,2
فلانی اجاقش کوره,2
کیکش خروس میخونه,2
کو گوش شنوا,2
چاه کن زیر چاهه,2
کبوترباکبوتربازباباز,2
گاو بی شاخ و دم,2
لگد ب بخت خود زدن,2
دهنش بوی شیر میده,2
ماست را کیسه کردن,2
مارخورده و افعی شده,2
نفس ازجای گرم برآمدن,2
نم پس نمی دهد,2
نخود هر آش شدن,2
نور علانوره,2
شکمش رو صابون زده,2
هر پستی بلندی دارد,2
هشتش گرو نهشه,2
یک دست صدا نداره,2
یه پاش لب گوره,2
یه تیر و دنشان زدن,2
هرکه بامش بیش,2
هرکی خربزه میخوره ,2
نان لواش,1
حرام خوار,2
نمک نشناس,2
دل گُنده,3
با انصاف,3
زبون دراز,1
آن تایم,2
مُتشخص,3
جون دوست,2
ناخن خشک,2
آشپز ک دوتا شد غذا..,2
کوه به کوه,2
از کاه کوه میسازه,2
حاشا نکن,2
کنج ازلت,2
قُمپُز در میکنه,2
لوقوز میخونه,2
دیگ ب دیگ میگه روت..,2
جوجه رو آخر پاییز ..,2
مار گزیده از ریسمان.,2
بخیه,2
یالقوز,3
مِهربانو و مِهربان,3
گاوبازی,2
آش شله قلمکار,2
بی حالی,2
بی اعصابی,3
عصبانیت,2
نگرانی,3
ناراحتی,2
بی صبر,2
پولداری ,2
بی پولی ,2
پوپیتر,3
کارمند شرکت نفت,3
علم علم اوستا علم,2
آیفون تصویری,2
سوسیس بلغاری,3
کنکور,1
ملایم,3
ثروتمند,1
خرد مند,3
چاه مکن بهر کسی ,2
باجناق فامیل نمیشه,2
پرستار,1
دکتر بیهوشی,2
سر پرستار,2
دادستان,3
دژبان,3
پز عالی ،جیب خالی,2
پیوند کلیه,2
پیوند مغز و اعصاب,2
عصب کشی,2
سکته قلبی,2
یه دست صدا نداره,3
سکته مغزی ,2
هر هیچکدام هردو,2
اول پیاله و بد مستی,2
پسر خاله دسته دیزی,2
فیل و فنجان بودن,2
غمزه شتر امدن,2
قمر در عقرب شدن,2
کار حضرت فیل است,2
گاوبندی داشتن,2
گاو نه من شیر است ,2
گربه هفت تا جان دارد,2
گربه رقصانی کردن,2
گرگ در لباس شیر,2
گنجشک روزی بودن,2
مار خوش خط و خال,2
کلاه کسی را برداشتن,2
راه وریدی ,2
آندوسکوپی,2
کولونوسکوپی,2
بیوپسی,2
نکروز,2
نمک روی زخم ریختن,2
تا اطلاع ثانوی,3
نباید جا بزنی,3
شد شد ، نشد نشد,2
زبونتو گاز بگیر,2
ببخش تا بخشیده شوی,2
یه من ماست چقد؟,2
کم عقل,3
سرور,3
قرمز,1
پانکراس,2
کبد,1
لوزه,2
سرماخوردگی,2
معده,1
با نمک,2
نفرون,2
پلانکتون,2
بی کران,3
شش تکه,1
صفحه شطرنج,2
مهره شطرنج,2
سوزن ته گرد,2
کردگار,3
افلاک,2
رزاق,2
فروغ,2
بی قرار,2
کتابخانه,1
آووکادو,2
کلیه,2
بد بو,1
آش با جاش پاش با ماش,2
کم هوش,3
مشکوک,2
قوزک پا,2
ناف,1
تا بوده همین بوده,2
برا کسی بمیر که تب ک,2
به کک بنده,2
از اونجا رونده ,2
عاقبت به خیر شدن,2
عجب کشکی سابیدم,2
گذشت انچه گذشت,2
زمزمه,1
تالاسمی,2
دانشجو اقتصاد,2
با دعای گربه‌ سیاهه ,2
تاندون,2
دریچه آئورت,2
مخچه,1
روده بزرگ,1
روده کوچک,1
سیاهرگ,2
سرخرگ,2
مویرگ,2
بطن کوچک ,2
دهلیز,2
اشیل,2
مفصل,2
ریه,2
شش,2
نایژه,2
حنجره,1
حلق,2
بافت,2
بافت پیوندی,2
بافت پوششی,2
استخوان,2
بافت چربی,2
مثانه,1
اپاندیس,2
زدی ضربتی ضربتی نوش ,2
انفولانزا,2
سرطان,2
کما,2
شکستگی,2
لوله ازمایش,2
میکروسکوپ,2
خون,1
پنی سیلین,2
بیل,1
کلنگ,1
سویا,2
جندی شاپور,2
باهنر,2
شیروپلنگ,2
کالبدشکافی,2
روان پزشکی,2
دندان پزشکی,2
پزشک اطفال,2
خر ما از کرگی دم ندا,2
لوزالمعده,2
بد ذات,2
زمین شناس,2
پتو مسافرتی,2
حلال زاده,1
کاری,2
پاستوریزه,2
سرنگ,1
هپاتیت,2
مالاریا,2
تپش قلب,2
سزارین,2
دل شکستن هنر نمیباشد,2
گربه رو دم حجله کشتن,2
حذف اضطراری,2
ایست قلبی,2
دیابت,2
مرض قند,1
دست بالای دست بسیاره,2
کف دستش مو نداره,2
سپرانداختن,2
ساعت مچی,2
نخند مسواک گرون میشه,2
سوند,2
یورتمه,2
درساژ,3
ذخیره,2
نرمش,1
مقاله,2
هموگلوبین,2
عدسی چشم,2
تار صوتی,2
بطن,2
قوزک,2
آرنج,2
upload,2
loading,2
پاور پوینت,2
از دماغ درآمدن ,2
دیفن هیدرامین ,2
متاستاز,2
دانشکده,1
شب سیاه گاو سیاه,2
نان به نرخ روز خوردن,2
حرف مرد یکیه,2
فیزیوتراپی,2
رباط صلیبی,2
قانقاریا,2
حصبه,2
دیفتری,2
سرخجه,2
سرخک,2
جذام,2
تب مالت,2
تهوع,2
سندرم,2
کلینیک,2
اتاق عمل,2
ویتامین,2
سینوزیت,2
آستیگماتیسم,2
آب مروارید,2
بینایی سنجی,3
شنوایی سنجی,2
پلاتین,2
آتل,2
گچ گرفتن,2
ام اس,2
نخاع,1
ستون فقرات,1
تعادل,2
آزمایش خون,2
آزمایشگاه,2
کلسترول,2
بهداری,2
برانکار,2
تزریق,2
معاینه,2
روپوش,2
بستری,2
زایمان,2
آپاندیس,2
دررفتگی,2
قطع نخاع,2
معلولیت,2
گلبول قرمز,1
پارسا,2
بقال سر کوچه,2
نایاب,2
رستگار,2
تب,2
اسهال,1
سل,2
آسم,2
رماتیسم,2
تشنج,2
لیف,1
مورچه چیه سایش چیباش,2
بالای چشمت ابرو است ,2
در حد لالیگا,2
تیروئید,2
تا سه نشه بازی نشه,2
کار گروهی,2
نکات ایمنی,2
میز کار,2
کپسول,1
شیر آب,2
ظرف,1
گاز آزمایشگاه,2
لختی,2
سندانی,2
شبکیه,2
زلالیه,2
زجاجیه,2
اندوسکوپی,2
دیافراگم,3
لوله گوارشی,2
اسپرم,2
تخمک,2
ژن,2
بند ناف,2
سلول های بنیادی,2
شمعدان,1
کابل aux,2
آنتی ویروس,2
آیدی,2
ولوم,1
بوفه دانشگاه,2
موش تو سوراخ نمیرفت ,2
آب که سر بالا بره,2
پرده آشپزخانه,2
آب که از سر گذشت,2
چرا عاقل کند کاری,2
شامپو,1
کیسه صفرا,2
آب از آهن جدا کردن,2
یس به گوش خر خواندن,2
یکی به دو کردن,2
علاج واقعه قبل از وق,2
از اين ستون به اون ستون فرجه,2
شیر بی یال و دم,2
آن دو کارد,2
میکروبیولوژی,2
دام پزشک,1
زانو داریم تا زانو ,2
قضاوت سلیمان ,2
شاه رگ,2
نورون,2
لاله گوش,1
اسید معده,2
دوازدهه,2
جزایر لانگرهانس,2
کیسه های هوایی,2
آکسون,2
دندریت,2
ترانزیستور ,3
میگم نره میگه بدوش,2
سیخ,1
فلفل ساب,2
شیر جوش,2
در بازکن نوشابه,3
تلفن بی سیم,2
بخاری گازی,2
دستمال,1
زودپز,2
سینمای خانگی,2
تلفن همراه,1
آبگرمکن دیواری,3
شارژر,1
داستر,3
باشگاه,1
افعی,1
فلامنکو,2
فالش,2
ووشو ساندا,3
تایتانیک,2
جیغ جیغو,2
شاکر ,2
مرموز,3
نه به باره نه به دار,3
بی عرضه,3
کینه توز,3
حیله گر,3
ادم فضول حتی در جهنم,2
تخم مرغ دزد ,2
تیز گوش,3
فرشته,1
درستکار ,2
دلربا ,3
مهجور ,3
کم رو,2
سرخوش ,2
پاستا,2
دَر به دَر,2
خَر عیسی,2
آش شُله قلمکار,2
پنس,2
سی پی ار,2
هورمون,2
هماتوکریت,2
لنفوسیت,2
طحال,3
اسکی الپاین,3
آب از سر گذشتن,2
روده,1
نای,2
گلبول سفید,2
ماهیچه,2
چربی,2
بیماری,2
قرص,1
شربت,1
سنگ کلیه,2
آلزایمر,2
فشار خون,2
حانه به دوش,2
صبر ایوب داشتن,2
قصاص در این دنیاست,2
اسکلت,2
سلول,1
یاخته,2
بزاق,2
غدد بزاقی,3
حالب,2
اب زیر کاه,2
رحم,2
شریان,2
بصل النخاع,3
پل مغز,2
جمجمه,1
مخاط,2
عفونت,2
چرک,1
دی ان ای,2
ماژور,2
مینور,2
استامینوفن,2
خز,1
ردی,2
آنفاکتوس,2
فیلیمو,3
وی چت,3
بلاگفا,3
موبوگرام,2
گوگل پلاس,3
گوگل مپس,2
جی میل,2
هات میل,3
آفیس,2
مک بوک,2
بلک بری,2
وبکم,2
لبران جیمز,2
استفن کری,2
کوین دورانت,3
تخمدان,2
بارداری,2
منشی,2
فشارسنج,2
مردمک,1
لنف,2
بزرگ سیاهرگ زبرین,2
ویروس,2
واکوئل,2
غضروف,2
گاز استریل,2
باند,2
کبد چرب,2
رانینگ,2
بافت زمینه ای,2
کلوئید,2
گیاه دارویی,2
سروان,2
سرگرد,2
فرمانده,2
دبیر,2
ستوان ,2
گروهبان,3
سرجوخه,3
شیشه بر,2
کفش و عصای آهنی داشت,2
خدا رو بنده نبودن,2
فیزیولوژی,2
سراپاگوش,3
یه گوشش دره یه گوشش ,2
ایمپلنت,2
عنبیه,2
آنتی هیستامین,2
لامپ ال ای دی,2
ترشی شیرین می شود,2
کاپیتان کشتی,3
آرد بیخته الک آویخته,2
بنده ات غلام سیاهه,2
آب ریخته جمع نمیشود,2
دروغگو کم حافظه است ,2
ارتودنسی ,2
لیگامان,2
میخایلوف,3
عذر بدتر از گناه,2
هیپوفیز,2
تستسترون,2
استروژن,2
شب دراز است و قلندر ,2
عوضی,2
ماسک,1
تهمتن,3
تراوش,2
ترشح,2
اوره,2
بافت سنگ فرشی,2
میزراه,2
آلدوسترون,2
